,Name,Address,Longitude,Latitude
0,2435 Kinwest Clinic," 2435 Kinwest Parkway, Irving, Texas",-96.9827323,34.89251696
1,85 Hope," 3563 S State Road 13, Wabash, Indiana",-85.8267033,44.72741286
2,"A Community Clinic, Inc."," 344 Market St, Sunbury, Pennsylvania",-76.7918424,44.84321848
3,A Mission Of Mercy ( Mobile Clinics)," 103 W. Middle St, Gettysburg, Pennsylvania",-77.2335432,43.48948416
4,AAPIO Clinic," 2600 Bryton Court, Powell, Ohio",-83.07428,43.94391426
5,Abccm Doctors Medical Clinic," 155 Livingston St, Asheville, North Carolina",-82.5588568,38.11282757
6,"Access Health, Inc."," 63 Main St, Buxton, Maine",-70.5460703,48.56007587
7,"Access Now, Inc."," 2201 W Broad St Ste 205, Richmond, Virginia",-77.4631309,40.57828975
8,ACS Community LIFT Medical Clinic," 5045 W 1st Ave, Denver, Colorado",-105.0515405,43.34471075
9,Adams Compassionate Health Care Network," 4431 Brookfield Corporate Drive Unit F, Chantilly, Virginia",-77.437997,42.26818337
10,Agape Care Team," 502 E 2nd St, Tampico, Illinois",-89.7772518,45.86830603
11,Agape Clinic (grace United Methodist Church)," 4105 Junius St, Dallas, Texas",-96.7758308,34.74609531
12,Agape Health Clinic," P.O. Box 316, Pratt, Kansas",-98.7375911,40.68688431
13,AlaMAP," 1624 Memorial Drive, Burlington, North Carolina",-79.4603005,38.74751507
14,Alford Free Health Clinic," 1770 Carolina Street, Alford, Florida",-85.389325,32.27778372
15,Aloha Medical Mission Clinic," 810 N Vineyard Blvd, Honolulu, Hawaii",-157.863769,21.8329647
16,Altoona Regional Partnership for a Healthy Community," 501 Howard Ave Ste B204, Altoona, Pennsylvania",-78.3968716,44.39579815
17,Amahoro House," 1618 4th Avenue, Olympia, Washington",-122.8795959,53.44648245
18,Amaus Health Services at the Cathedral," 259 E Onondaga St, Syracuse, New York",-76.1498321,47.78229411
19,"Americares Free Clinics, Inc."," 88 Hamilton Ave, Stamford, Connecticut",-73.5194386,45.11295825
20,Anderson Free Clinic," 414 N Fant St, Anderson, South Carolina",-82.6459475,36.80471906
21,Angels Care Center of Eloise," 1020 Sniverly Avenue, Eloise, Florida",-81.7311276,29.17026105
22,Angels Community Clinic," 1005 Poplar St, Murray, Kentucky",-88.3125311,39.38801901
23,Angie Medical Clinic," 29764 Hwy 21, Angie, Louisiana",-89.8133894,32.58020891
24,Ann Silverman Community Health Clinic," 595 W State St, Doylestown, Pennsylvania",-75.1465037,44.11126478
25,Arkansas Association of Charitable Clinics," 201 E Roosevelt Rd, Little Rock, Arkansas",-92.2725156,37.06810722
26,Arlington Free Clinic," 2921 11th St S, Arlington, Virginia",-77.087673,42.23742954
27,Arthur Nagel Community Clinic," PO Box 519, Bandera, Texas",-99.0736462,31.15767656
28,Arubah Community Clinic," 1021 W Main St, Collinsville, Oklahoma",-95.837608,39.08437201
29,Asc Cares (accion Social Comunitaria)," 4021 Iowa Ave, Saint Louis, Missouri",-90.2315224,41.87962804
30,Ashe County Free Medical Clinic," 225 Court St, Jefferson, North Carolina",-81.4709951,39.15628361
31,Ashland Christian Health Center," 380 East Fourth Street, Ashland, Ohio",-82.3079891,44.85572086
32,Ashland Free Medical Clinic," 50 E Lewelling Blvd Rm 55, San Lorenzo, California",-122.122524,40.74330778
33,Asian And Pacific Islander Wellness Center," 730 Polk St Fl 4, San Francisco, California",-122.419095,40.86375159
34,Asian Free Clinic," 2231 N High St, Columbus, Ohio",-83.0101118,43.72154171
35,Athens Nurses Clinic," 240 North Avenue, Suit 2, Athens, Georgia",-83.3659962,36.15752338
36,Augusta Regional Free Clinic," 342 Mule Academy Rd, Fishersville, Virginia",-78.9802784,41.25719114
37,AuSable Free Clinic," 1200 W. North Downriver Rd, Grayling, Michigan",-84.7111248,50.0347369
38,Avicenna Community Health Clinic," 819 Bloomington Rd, Champaign, Illinois",-88.2568324,43.88193647
39,Azzarelli Outreach Clinic," 341 N St. Joseph Avenue, Kankakee, Illinois",-87.8395241,45.18914827
40,Baby Health Services," 1590 Harrodsburg Rd, Lexington, Kentucky",-84.5251807,41.17859894
41,Baptist Mission Center," 2125 Exchange Ave, Oklahoma City, Oklahoma",-97.552777,37.95947699
42,"Barrier Islands Free Medical Clinic, Inc."," 1230 W. State St., Hastings, Michigan",-85.3015061,47.23804132
43,Battle Ground Healthcare," 11117 NE 189th St, Battle Ground, Washington",-122.5581059,51.57872536
44,BCHIP Lower Bucks Clinic," 2546B Knights Road, Bensalem, Pennsylvania",-74.957432,43.84358678
45,Beach Health Clinic," 3396 Holland Rd Ste 102, Virginia Beach, Virginia",-76.0897013,39.6344041
46,Beauregard Agape Community Clinic," 213 W 2nd St, Deridder, Louisiana",-93.2880852,32.45377271
47,"Beckley Health Right, Inc."," 111 Randolph St, Beckley, West Virginia",-81.197198,40.84400694
48,Bedford Christian Free Clinic," 104 Center St., Bedford, Virginia",-79.5251111,40.29700657
49,Bennington Free Clinic," 601 Main St, Bennington, Vermont",-73.1920433,47.55115557
50,Bergen Volunteer Medical Initiative," 1650 Carrol Dr, Biloxi, Mississippi",-88.936851,31.93613805
51,Bethesda Community Clinic," 107 Mountain Brook Drive, Suite 100, Canton, Georgia",-84.5045019,36.4065276
52,Bethesda Free Health Clinic," 6912 N Washington Ave, Ocean Springs, Mississippi",-88.8375202,31.98519271
53,Bethesda Health Clinic," 409 W Ferguson St, Tyler, Texas",-95.3044929,34.22286133
54,Birmingham Free Clinic," 44 South 9th Street, Pittsburgh, Pennsylvania",-79.9903979,44.27355049
55,Bladen County Free Clinic," 16860 Nc Highway 87 E, Council, North Carolina",-78.4091146,36.74450147
56,Blue Ridge Mountain Health Project," 130 Highway 64 East, Cashiers, North Carolina",-83.1088436,37.54311366
57,Bluffton Jasper County Volunteers In Medicine," 1 Burnt Church Rd, Bluffton, South Carolina",-80.8424984,34.10255141
58,Body Of Christ Community Clinic," 2608 N Main Street, Belton, Texas",-97.4582631,32.72911713
59,Boise Rescue Mission Ministries," 707 W Fort St, Boise, Idaho",-116.1971713,48.57198605
60,New Song Health Center," 151 East Briarcliff Road, Bolingbrook, Illinois",-88.0650262,45.9559675
61,"Boyne Area Free Clinic, Inc."," 624 State St, Boyne City, Michigan",-85.0023763,50.80505682
62,Bradley Free Clinic of Roanoke Valley," 1240 3rd St SW, Roanoke, Virginia",-79.9449157,40.20565106
63,Brandon Outreach Clinic," 517 N Parsons Ave, Brandon, Florida",-82.2854979,29.12494986
64,"Bread of Healing Clinic, Inc."," 1821 N 16th St, Milwaukee, Wisconsin",-87.933127,47.79252002
65,Bridges To Health," 1251 W Kem Rd Ste B, Marion, Indiana",-85.673812,44.46304421
66,Brock Hughes Medical Center," 450 West Monroe Street, Wytheville, Virginia",-81.0876164,39.81241841
67,Brother Bills Helping Hand," 3906 N. Westmoreland, Dallas, Texas",-96.8734143,34.74127355
68,Broward Outreach Center," 1700 Blount Rd., Pompano Beach, Florida",-80.1629916,27.22278229
69,Buddhist Tzu Chi Medical Center," 1000 S Garfield Ave, Alhambra, California",-118.1226883,36.29339348
70,Bureau County Health and Wellness Clinic," 500 Elm Place, Princeton, Illinois",-89.45827,45.53736918
71,By The Way Medical Mission Free Clinic," 1029 S Broad St, Lancaster, Ohio",-82.604333,43.31996891
72,C.A.R.E. Clinic," 1407 W 4th St, Red Wing, Minnesota",-92.5482788,49.87948724
73,Cabrini Clinic," 1234 Porter St, Detroit, Michigan",-83.0611731,46.80643228
74,"Cahaba Valley Health Care, Inc."," 1515 6th Avenue S, Birmingham, Alabama",-86.806755,35.594401
75,Calcasieu Community Clinic," 550 East Sale Road Ste 217, Lake Charles, Louisiana",-93.2148709,31.68491639
76,Can Help," 613 Gilmer St, Sulphur Springs, Texas",-95.6015363,35.14789719
77,Canyon County Community Clinic," 524 Cleveland Blvd., Caldwell, Idaho",-116.6925058,48.63336387
78,Cape Fear Clinic," 1605 Doctors Cir, Wilmington, North Carolina",-77.9271942,36.44002674
79,Capital City Rescue Mission Free Clinic," 259 S Pearl St, Albany, New York",-73.7565388,47.2312756
80,"CARE Clinic, Inc."," 239 Robeson Street, Fayetteville, North Carolina",-78.8878181,37.4680254
81,Care Free Medical and Dental," 5135 S. Pennsylvania Ave., Lansing, Michigan",-84.5376532,47.28462274
82,Carenow," 8000 McConnell Ave, Los Angeles, California",-118.4123448,36.15019322
83,Caridad Center," 8645 W. Boynton Beach Blvd, Boynton Beach, Florida",-80.1823904,27.53143579
84,Caring Community Clinic," 200 Doctors Dr Ste B, Jacksonville, North Carolina",-77.3799683,37.11472214
85,Caring for Miami Mobile," 8900 SW 168th Street, Miami, Florida",-80.3381312,26.51195876
86,Caring Hands Clinic," 930 N. Westwood, Poplar Bluff, Missouri",-90.4125429,39.58296503
87,Caring Hands Health Clinic Inc.," 34 Courthouse Sq, Cleveland, Georgia",-83.7638983,36.91388621
88,Caring Hearts Free Clinics Of Patrick County," 835 Woodland Dr Ste 101, Stuart, Virginia",-80.254086,39.43402403
89,Carroll Community and New Opportunities Free Medical Clinic," 14060 Dublin St, Houston, Texas",-95.4942232,31.04918156
90,Cathedral Kitchen," 1514 Federal St, Camden, New Jersey",-75.102259,43.63838261
91,Cathedral Mental Health Care," 705 Hoyt Avenue, Saginaw, Michigan",-83.9353238,48.30189966
92,Catherine Mcauley Clinic," 5514 Hohman Ave, Hammond, Indiana",-87.5223813,45.84315562
93,Catherines Health Center," 1211 Lafayette Ave NE, Grand Rapids, Michigan",-85.6620846,47.69784382
94,Catholic Charities Free Health Care Center," 212 9th St., Pittsburgh, Pennsylvania",-79.9982251,44.29184515
95,CBM Health Care Inc.," 1640 Fort Street, Suite E, Trenton, Michigan",-83.189631,46.5700353
96,Center for Black Womens Wellness," 477 Windsor Street, Suite 309, Atlanta, Georgia",-84.399713,35.87985649
97,Center for Family Health and Education," 8727 Van Nuys Blvd., Panorama City, California",-118.4506107,36.46694359
98,Center For Healing and Hope," 902 S Main St, Goshen, Indiana",-85.83141,45.79233217
99,Centre Volunteers In Medicine," 2520 Green Tech Dr Ste D, State College, Pennsylvania",-77.9184974,44.77921611
100,Chafee Peoples Clinic," 209 E 3rd St, Salida, Colorado",-105.9920279,41.81748071
101,Champaign County Christian Health Center," PO Box 5005, Champaign, Illinois",-88.2433829,43.86360906
102,Charitable Christian Clinic," 133 Arbor St, Hot Springs, Arkansas",-93.054254,36.82286263
103,Charlotte Community Health Clinic," 8401 Medical Plaza Dr Ste 300, Charlotte, North Carolina",-80.7767812,37.79505474
104,Charlottesville Free Clinic," 1138 Rose Hill Dr, Charlottesville, Virginia",-78.4829296,41.19215228
105,Chatham Cares Community Pharmacy," 127 E Raleigh St, Siler City, North Carolina",-79.4626872,38.29184967
106,Chelsea Grace Clinic," 603 S. Main St., Chelsea, Michigan",-84.019049,46.78436609
107,Chesapeake Care," 2145 S Military Hwy, Chesapeake, Virginia",-76.2652237,39.60252137
108,Cheyenne Community Clinic," 120 S Central Expy Ste 102, McKinney, Texas",-96.6405134,35.22837949
109,Childrens Health Services Clinic," 673 Martin Luther King Blvd, Pontiac, Michigan",-83.2763386,47.24749065
110,Childrens Oral Health Center," 5216 Monarch St, Dallas, Texas",-96.7747542,34.76691
111,Chinese Community Center Free Clinic," 250 West 22nd Place, Chicago, Illinois",-87.6341592,46.16341508
112,Chippewa Valley Free Clinic," 816 Porter Avenue, Eau Claire, Wisconsin",-91.4974382,50.22468613
113,Christ Central Medical Care Center," 108 Park Terrace, Columbia, South Carolina",-81.1543719,36.28083212
114,Christ Clinic TX," 5504 1st St, Katy, Texas",-95.8204707,31.22692476
115,Christ Clinic WA," 914 W Carlisle Ave, Spokane, Washington",-117.4259598,54.38164612
116,"Christ Clinic, Inc."," 3920 S. Shields, Fort Collins, Colorado",-105.0951817,44.41064085
117,Christ Community Free Clinic," 1 A Street NW, Auburn, Washington",-122.2312531,53.83101158
118,Christ the King Clinic at South Jacksonville Family Health Clinic," 1736 University Boulevard S., Jacksonville, Florida",-81.6000047,31.83376678
119,Christ the King Free Clinic," 820 Porter Avenue, Des Moines, Iowa",-93.6243749,45.73622954
120,Christs Family Clinic," 6409 Preston Rd, Dallas, Texas",-96.8048636,34.80712904
121,Christian Community Care Clinic," 220 W South St, Benton, Arkansas",-92.5891029,36.87300826
122,Christian Free Clinic In Botetourt," 7330 Roanoke Rd., Fincastle, Virginia",-79.8770965,40.4801349
123,Christian Healing Network," 2125 E La Salle St, Colorado Springs, Colorado",-104.7894137,42.23341186
124,Christian Health Center," 1115 Fairview Rd SW, Camden, Arkansas",-92.8504574,35.63373265
125,Christs Family Clinic," 6409 Preston Rd, Dallas, Texas",-96.8048636,34.80712904
126,Christian Community Care Clinic," 220 W South St, Benton, Arkansas",-92.5891029,36.87300826
127,Christian Free Clinic In Botetourt," 7330 Roanoke Rd., Fincastle, Virginia",-79.8770965,40.4801349
128,Christian Healing Network," 2125 E La Salle St, Colorado Springs, Colorado",-104.7894137,42.23341186
129,Christian Health Center," 1115 Fairview Rd SW, Camden, Arkansas",-92.8504574,35.63373265
130,"Christian Health Center of Howard County, Inc."," 121 W Sypert St, Nashville, Arkansas",-93.84826,36.12041073
131,Christian Health Ministry," 104 E Vine Ave, Searcy, Arkansas",-91.7371096,37.71268025
132,"Church Health Services, Inc."," 115 N Center St, Beaver Dam, Wisconsin",-88.8391287,48.34548726
133,Church Hill Medical Mission," 401 Richmond St, Church Hill, Tennessee",-82.699922,39.27929981
134,Church of the King Dream Center," PO Box 56506, New Orleans, Louisiana",-90.0715323,31.4164333
135,City And Country Health Clinic," 120 5th Ave NW, Minot, North Dakota",-101.2957438,55.22054189
136,City on a Hill Health Clinic," 100 S. Pine Street, Suite 140, Zeeland, Michigan",-86.0239527,47.45804583
137,City On The Hill Health Clinic," 2224 W Kilbourn Ave, Milwaukee, Wisconsin",-87.9411034,47.77640485
138,CitySquare," 2835 Grand Ave, Dallas, Texas",-96.7650425,34.72734232
139,Clark County Charitable Health Service," PO Box 563, Arkadelphia, Arkansas",-93.0537839,36.33731538
