id	rate
01001	9.4
01003	11.5
01005	13.3
01007	11.9
01009	14
01011	14.5
01013	12.2
01015	11.4
01017	13.3
01019	11.7
01021	15.2
01023	11.8
01025	12.6
01027	14.4
01029	12.1
01031	11.9
01033	10.6
01035	14.7
01037	13.5
01039	12.3
01041	12.8
01043	14.1
01045	11.5
01047	12.1
01049	17.6
01051	9.3
01053	15.5
01055	12
01057	11.9
01059	16.4
01061	15.7
01063	12.1
01065	12.1
01067	13.5
01069	11.7
01071	13.8
01073	11.3
01075	12.6
01077	11.2
01079	13.6
01081	11.5
01083	12.1
01085	12
01087	10.8
01089	10.3
01091	10.8
01093	13
01095	15.5
01097	13
01099	14.2
01101	12.2
01103	13.7
01105	12.7
01107	12.5
01109	13.8
01111	13.7
01113	11.3
01115	11.5
01117	8.4
01119	12.5
01121	11.2
01123	12
01125	9.8
01127	12.8
01129	12.1
01131	12.3
01133	12.6
02013	37.4
02016	21.8
02020	13.6
02050	24.6
02060	21.7
02068	19.1
02070	23.3
02090	14.1
02100	22.1
02105	24.4
02110	14.3
02122	18.9
02130	18.8
02150	21
02158	22.9
02164	31.9
02170	16.7
02180	24
02185	18.1
02188	25.5
02195	18
02198	25.2
02220	20
02230	16.8
02240	21.7
02261	18.6
02275	18.9
02282	33.9
02290	30.7
04001	17.5
04003	10.7
04005	14.6
04007	13.6
04009	11.6
04011	7.3
04012	21.1
04013	12.5
04015	14
04017	15.6
04019	12.2
04021	12.6
04023	15
04025	13.2
04027	17.4
05001	10.5
05003	10.1
05005	10
05007	11.4
05009	10.4
05011	14.9
05013	9.9
05015	16.7
05017	11.8
05019	10.4
05021	12
05023	10.5
05025	9.3
05027	11
05029	11
05031	10.6
05033	12.1
05035	8.5
05037	10.7
05039	9.3
05041	10.8
05043	10.3
05045	8.9
05047	11.4
05049	10.5
05051	12.9
05053	8.7
05055	8.9
05057	13.1
05059	9
05061	14.4
05063	10.7
05065	13.5
05067	11
05069	8.9
05071	15
05073	12.5
05075	9.6
05077	10.5
05079	11.4
05081	10.2
05083	11.3
05085	8.3
05087	14.8
05089	10.8
05091	10.5
05093	9.5
05095	12.6
05097	13.4
05099	10.2
05101	11.4
05103	8.4
05105	9.9
05107	9.6
05109	16.5
05111	11.2
05113	13.6
05115	12.2
05117	13.3
05119	10
05121	10.6
05123	9.5
05125	8.2
05127	15.3
05129	13
05131	13
05133	21.3
05135	13.1
05137	13.9
05139	11
05141	12.9
05143	13.4
05145	10.9
05147	13
05149	16.1
06001	6
06003	9.6
06005	6.9
06007	8.1
06009	7.1
06011	12.3
06013	6.5
06015	8.1
06017	6.2
06019	10.8
06021	11.6
06023	8.9
06025	10.6
06027	8.9
06029	9.7
06031	8.9
06033	10.3
06035	5.7
06037	12.5
06039	13
06041	6.2
06043	7.9
06045	12
06047	10.1
06049	10.7
06051	12
06053	11.9
06055	8.5
06057	8.1
06059	10
06061	5.4
06063	8.7
06065	10.9
06067	7.2
06069	10.3
06071	9.7
06073	9.5
06075	6.3
06077	8.6
06079	8
06081	5.7
06083	12.2
06085	5.9
06087	7.8
06089	8.6
06091	9.6
06093	9.3
06095	6
06097	8.7
06099	8.5
06101	11
06103	9.2
06105	8.7
06107	11.2
06109	7.2
06111	9.9
06113	7.5
06115	9.4
08001	12.6
08003	12.9
08005	9.4
08007	13.2
08009	13.4
08011	10.5
08013	7.3
08014	4.8
08015	10.1
08017	15.8
08019	6.3
08021	11.4
08023	15.8
08025	9.5
08027	13.5
08029	11.4
08031	12.1
08033	12.5
08035	3.5
08037	14
08039	7.6
08041	8.1
08043	9.6
08045	16
08047	4.4
08049	9.2
08051	11.7
08053	11.8
08055	10.1
08057	16.7
08059	7
08061	12.2
08063	14.3
08065	11.7
08067	10.2
08069	7
08071	10.9
08073	9
08075	11.1
08077	10.8
08079	11.1
08081	10.5
08083	14.8
08085	13.2
08087	12.6
08089	12.4
08091	10.4
08093	8.8
08095	14.6
08097	11.2
08099	13.8
08101	9.1
08103	9.9
08105	12.9
08107	8.1
08109	19.5
08111	12.2
08113	10.9
08115	11.2
08117	11.9
08119	7.8
08121	10.6
08123	8.4
08125	12.3
09001	9.2
09003	5.8
09005	5.6
09007	4.5
09009	7
09011	5.5
09013	4.2
09015	6
10001	6.9
10003	6.1
10005	9.4
11001	4.3
12001	12.6
12003	11.8
12005	13.8
12007	13.3
12009	13.5
12011	16.5
12013	16.3
12015	16.8
12017	14.9
12019	11.9
12021	23.2
12023	12.5
12027	25.7
12029	14.3
12031	13.2
12033	12.7
12035	15.8
12037	17.1
12039	16.5
12041	18.6
12043	26.2
12045	14.3
12047	14.7
12049	21.8
12051	26
12053	15.6
12055	18.3
12057	14.7
12059	16.7
12061	19.4
12063	13.7
12065	14.1
12067	22
12069	14.4
12071	19.9
12073	11.4
12075	17.4
12077	14.5
12079	15.7
12081	18.1
12083	16.6
12085	16.7
12086	21.2
12087	20
12089	12.1
12091	12.6
12093	23.9
12095	15.7
12097	17.6
12099	17.2
12101	14
12103	14.3
12105	15.4
12107	17.2
12109	10.1
12111	18.2
12113	11.7
12115	15.9
12117	11.9
12119	12
12121	17.5
12123	14.7
12125	10.9
12127	15.5
12129	11.1
12131	17.4
12133	14.9
13001	19.2
13003	25.6
13005	20.2
13007	14.3
13009	14.5
13011	18.5
13013	17.1
13015	16.2
13017	16.8
13019	19.1
13021	15.4
13023	14.4
13025	18.6
13027	19.4
13029	12.9
13031	17.9
13033	15.9
13035	16.4
13037	21.1
13039	12.5
13043	21.2
13045	16.5
13047	13.4
13049	14.5
13051	15.4
13053	11
13055	17.9
13057	13.8
13059	18.4
13061	17.2
13063	18.9
13065	18
13067	14.6
13069	20.3
13071	24.1
13073	11.5
13075	18.8
13077	12.6
13079	16.6
13081	15
13083	14.5
13085	16.8
13087	18.4
13089	16.9
13091	16.2
13093	19.9
13095	16.8
13097	15.2
13099	15.2
13101	27.6
13103	12.5
13105	18
13107	15.8
13109	19.7
13111	20.1
13113	11
13115	17.6
13117	10.5
13119	18.5
13121	14
13123	22.4
13125	12.4
13127	17.3
13129	19.4
13131	22.3
13133	19.7
13135	17.8
13137	20.3
13139	21.3
13141	14.2
13143	14.9
13145	10.4
13147	16.8
13149	15.3
13151	12.8
13153	12.6
13155	15.1
13157	15.8
13159	17.8
13161	19.3
13163	19.1
13165	17.3
13167	15.7
13169	13.1
13171	14.5
13173	17
13175	14.8
13177	12.2
13179	12.6
13181	16.5
13183	17
13185	16.8
13187	19
13189	15.6
13191	16.5
13193	19.3
13195	18.8
13197	17.8
13199	17
13201	17.3
13205	17.9
13207	14.7
13209	17.5
13211	15.1
13213	19.9
13215	13.5
13217	15.1
13219	11.4
13221	17.1
13223	12.6
13225	17.6
13227	16.4
13229	17.7
13231	15.5
13233	18.3
13235	17.5
13237	17
13239	19.4
13241	21.8
13243	16.2
13245	14.4
13247	16.1
13249	17.7
13251	16.2
13253	15.9
13255	15.5
13257	15.3
13259	19.5
13261	16.3
13263	17.8
13265	19.9
13267	19.7
13269	17.6
13271	15.8
13273	17.4
13275	16
13277	19.5
13279	19.2
13281	17.3
13283	16
13285	14.5
13287	19.1
13289	16.1
13291	17.1
13293	16.2
13295	14.4
13297	14
13299	17.3
13301	16.5
13303	14.5
13305	16.1
13307	16.2
13309	16.6
13311	15.9
13313	22.3
13315	16.9
13317	18.4
13319	14.8
13321	17.3
15001	5.9
15003	4.4
15005	0.0
15007	5.2
15009	5.4
16001	9.5
16003	15.7
16005	11.5
16007	10.9
16009	15.8
16011	16
16013	16.9
16015	13.4
16017	13.1
16019	11.6
16021	16.8
16023	13.1
16025	22
16027	15.7
16029	10.6
16031	18.3
16033	26.9
16035	12.9
16037	13.5
16039	13.5
16041	13.6
16043	15.9
16045	14.8
